ἆ I
ἀνυπέρβλητος A
ἀνυπερθέτως D
ἀνυπόδετος A
ἀνυπόκριτος A
ἀνυπομόνητος A
ἀνυπονόητος A
ἀνυπόστατος A
ἀνυψόω V
ἀνύω V
Ανω Np
ἄνω D P
Ανωβ Np
ἄνωθεν D
Ανων Np
ἀνώνυμος A
Ανως Np
ἀνώτερον A
ἀνώτερος A
ἀνωφελής A
Ανωχ Np
ἀξία N
ἀξίνη N
ἀξιόπιστος A
ἄξιος A N
ἀξιόω V
ἀξίωμα N
ἀξίως D
ἄξων N
Αοζα Np
ἀοίδιμος A
ἀοίκητος A
ἄοκνος A
ἀορασία N
ἀόρατος A
Αουε Np
ἀπαγγελία N
ἀπαγγέλλω V
ἀπαγορεύω V
ἀπάγχω V
ἀπάγω V
ἀπαγωγή N
ἀπαδικέω V
ἀπαιδευσία N
ἀπαίδευτος A
ἀπαίρω V
ἀπαιτέω V
ἀπαίτησις N
ἀπαλείφω V
ἀπαλλάσσω V
ἀπαλλοτριόω V
ἀπαλλοτρίωσις N
ἁπαλός A
ἁπαλότης N
ἁπαλύνω V
ἀπαμαυρόω V
Ἀπάμη Np
ἀπαμύνω V
ἀπαναίνομαι V
ἀπαναισχυντέω V
ἀπανίστημι V
ἀπαντάω V
ἀπαντή N
ἀπάντημα N
ἀπάντησις N
ἀπάνωθεν D
ἅπαξ D
ἀπαραίτητος A
ἀπαραλλάκτως D
ἀπαραπόδιστος A
ἀπαρασήμαντος A
ἀπαρέσκω V
ἀπαρνέομαι V
ἄπαρσις N
ἀπαρτία N
ἀπαρχή N
ἄπαρχος N
ἀπάρχω V
ἅπας A N
ἀπασπάζομαι V
ἀπατάω V
ἀπάτη N
ἀπάτησις N
ἀπαύγασμα N
ἀπαυτομολέω V
ἀπείθεια N
ἀπειθέω V
ἀπειθής A
ἀπεικάζω V
ἀπείκασμα N
ἀπειλέω V
ἀπειλή N
ἄπειμι V
ἄπειμι V
ἀπεῖπον V
ἀπειράγαθος N
ἀπείργω V
ἄπειρος A
ἀπεκδίδωμι V
ἀπέκτασις N
ἀπελαύνω V
ἀπελέγχω V
ἀπελέκητος A
ἀπελευθερόω V
Ἀπελλῆς Np
ἀπελπίζω V
ἀπέναντι D P
ἀπεναντίον D
ἀπενεόομαι V
ἀπένθητος A
ἀπέραντος A
ἀπερείδω V
ἀπερικάθαρτος A
ἀπερίσπαστος A
ἀπερίτμητος A
ἀπέρχομαι V
ἀπευθανατίζω V
ἀπεχθάνομαι V
ἀπέχθεια N
ἀπεχθής A
ἀπεχθῶς D
ἀπηλιώτης N
ἀπήμαντος A
ἀπηνής A
ἄπιος N
Ἆπις Np
ἀπιστέω V
ἀπιστία N
ἄπιστος A
ἄπλαστος A
ἄπλατος A
ἀπληστεύομαι V
ἀπληστία N
ἄπληστος A
ἁπλοσύνη N
ἁπλότης N
ἁπλοῦς A
ἁπλόω V
ἁπλῶς D
ἄπνοος A
ἀπό P
ἀποβαίνω V
ἀποβάλλω V
ἀποβάπτω V
ἀποβιάζομαι V
ἀποβλέπω V
ἀπόβλημα N
ἀπογαλακτίζω V
ἀπογεύω V
ἀπογινώσκω V
ἀπόγονος A
ἀπογραφή N
ἀπογράφω V
ἀποδείκνυμι V
ἀπόδειξις N
ἀποδειροτομέω V
ἀποδεκατεύω V
ἀποδεκατίζω V
ἀποδεκατόω V
ἀποδεσμεύω V
ἀπόδεσμος N
ἀποδέχομαι V
ἀποδέω V
ἀποδιαστέλλω V
ἀποδιδράσκω V
ἀποδίδωμι V
ἀποδιώκω V
ἀποδοκιμάζω V
ἀπόδομα N
ἀπόδοσις N
ἀποδοχεῖον N
ἀποδύρομαι V
ἀποθαυμάζω V
ἀποθερίζω V
ἀποθήκη N
ἀποθησαυρίζω V
ἀποθλίβω V
ἀποθνήσκω V
ἀποικεσία N
ἀποικία N
ἀποικίζω V
ἀποικισμός N
ἀποίχομαι V
ἀποκαθαίρω V
ἀποκαθαρίζω V
ἀποκάθημαι V
ἀποκαθίστημι V
ἀποκαίω V
ἀποκακέω V
ἀποκάλυμμα N
ἀποκαλύπτω V
ἀποκάλυψις N
ἀπόκειμαι V
ἀποκενόω V
ἀποκεντέω V
ἀποκέντησις N
ἀποκεφαλίζω V
ἀποκιδαρόω V
ἀποκλαίω V
ἀπόκλεισμα N
ἀποκλείω V
ἀποκλίνω V
ἀποκλύζω V
ἀποκνίζω V
ἀποκομίζω V
ἀποκόπτω V
ἀποκοσμέω V
ἀπόκρημνος A
ἀποκρίνομαι V
ἀπόκρισις N
ἀποκρυβή N
ἀποκρύπτω V
ἀποκρυφή N
ἀπόκρυφος A D N
ἀποκτείνω V
ἀποκυέω V
ἀποκωλύω V
ἀποκωφόομαι V
ἀπολακτίζω V
ἀπολαμβάνω V
ἀπόλαυσις N
ἀπολαύω V
ἀπολέγω V
ἀπολείπω V
ἀπολεπίζω V
ἀπολήγω V
ἀπολιθόω V
Ἀπολλοφάνης Np
ἀπόλλυμι V
Ἀπολλύων Np
ἀπόλλω V
Ἀπολλωνία Np
Ἀπολλώνιος Np
Ἀπολλῶς Np
ἀπολογέομαι V
ἀπολόγημα N
ἀπολογία N
ἀπόλοιπος A
ἀπολούω V
ἀπόλυσις N
ἀπολυτρόω V
ἀπολύτρωσις N
ἀπολύω V
ἀπομαίνομαι V
ἀπομαρτυρέω V
ἀπομάσσω V
ἀπομάχομαι V
ἀπομέμφομαι V
ἀπομερίζω V
ἀπόμοιρα N
ἀπονέμω V
ἀπονίπτω V
ἀπονοέομαι V
ἀπόνοια N
ἄπονος A
ἀποξαίνω V
ἀποξενόω V
ἀποξηραίνω V
ἀποξύω V
ἀποπαρθενεύομαι V
ἀποπειράομαι V
ἀποπεμπτόω V
ἀποπηδάω V
ἀποπιέζω V
ἀποπίπτω V
ἀποπλανάω V
ἀποπλάνησις N
ἀποπλύνω V
ἀποπνέω V
ἀποπνίγω V
ἀποποιέω V
ἀποπομπαῖος A
ἀποπομπή N
ἀποπρατίζομαι V
ἀποπτύω V
ἀπόπτωμα N
ἀποργίζομαι V
ἀπορέω V
ἀπορία N
ἀπορίπτω V
ἀπορρήσσω V
ἀπόρρητος A
ἀπορρίπτω V
ἀπόρροια N
ἀπορρώξ N
ἀποσάττω V
ἀποσβέννυμι V
ἀποσείω V
ἀποσιωπάω V
ἀποσκαρίξω V
ἀποσκεδάννυμι V
ἀποσκευάζω V
ἀποσκευή N
ἀποσκηνόω V
ἀποσκληρύνω V
ἀποσκοπεύω V
ἀποσκοπέω V
ἀποσκορακίζω V
ἀποσκορακισμός N
ἀποσκυθίζω V
ἀποσοβέω V
ἀπόσπασμα N
ἀποσπάω V
ἀποστάζω V
ἀποσταλάζω V
ἀποστασία N
ἀποστάσιον N
ἀπόστασις N
ἀποστατέω V
ἀποστάτης N
ἀποστάτις N
ἀποστέλλω V
ἀποστενόω V
ἀποστέργω V
ἀποστερέω V
ἀποστολή N
ἀποστρεβαλόομαι V
ἀποστρέφω V
ἀποστροφή N
ἀποστύφω V
ἀποσυνάγω V
ἀποσυρίζω V
ἀποσύρω V
ἀποσφάζω V
ἀποσφενδονάω V
ἀποσφράγισμα N
ἀποσχίζω V
ἀποτάσσω V
ἀποτείνω V
ἀποτελέω V
ἀποτέμνω V
ἀποτηγανίζω V
ἀποτίθημι V
ἀποτίκτω V
ἀποτίναγμα N
ἀποτίννυμι V
ἀποτίνω V
ἀποτομή N
ἀπότομος A
ἀποτόμως D
ἀποτρέπω V
ἀποτρέχω V
ἀποτρίβω V
ἀποτροπιάζω V
ἀποτρυγάω V
ἀποτυγχάνω V
ἀποτυμπανίζω V
ἀποτυφλόω V
ἀποτύφλωσις N
ἀποφαίνω V
ἀποφέρω V
ἀποφεύγω V
ἀποφθέγγομαι V
ἀπόφθεγμα N
ἀποφράσσω V
ἀποφυσάω V
ἀποχέω V
ἀποχωρέω V
ἀποχώρησις N
ἀποχωρίζω V
ἀποψύχω V
Ἄππιος Np
ἄπρακτος A
ἀπρεπής A
ἀπρονοήτως D
ἀπρόπτωτος A
ἀπροσδεής A
ἀπροσδόκητος A
ἀπροσδοκήτως D
ἀπρόσκοπος A
ἄπταιστος A
Απταλιμ Np
ἀπτόητος A
ἅπτομαι V
ἅπτω V
ἄπυρος A
Ἀπφία Np
Απφιν Np
Απφους Np
ἀπωθέω V
ἀπώλεια N
ἀπῶρυξ N
ἀπωσμός N
ἀπωτέρω D
Αρα Np
ἀρά N
ἄρα X
ἆρα X
Αραα Np
αρααβ N
Αραας Np
Ἀραβά Np
Αραβι Np
Ἀραβία Np
Ἀράβισσα Np
Ἀραβώθ Np
Αραβωθίτης Np
Αραδ Np
Ἀράδιος Np
Ἄραδος Np
Αραηλ Np
Αραθ Np
Ἀράμ Np
Αραμα Np
Αραμιν Np
Αραν Np
ἀράομαι V
Αραουρίτης Np
Αραρατ Np
Αραρι Np
ἀραρότως D
Αραφωθ Np
Αραχι Np
ἀράχνη N
Ἄραψ Np
Αρβαττοις Np
Αρβεσεερ Np
Αρβηλα Np
Αρβηλος Np
Αρβο Np
Αρβοκ Np
ἀργέω V
ἀργία N
Αργοβ Np
ἀργός A
ἀργύρεος A
ἀργυρικός A
ἀργύριον N
ἀργυροκοπέω V
ἀργυροκόπος N
ἀργυρολόγητος N
ἄργυρος N
ἀργυροῦς A
ἀργυροχόος N
ἀργύρωμα N
ἀργυρώνητος A
ἀρδαλόω V
ἄρδην D
Αρεββα Np
Ἄρειος Np
Ἄρειος Πάγος Np
Αρεμ Np
Ἀρεοπαγίτης Np
Ἅρες Np
ἀρέσκεια N
ἀρέσκω V
ἀρεστός A
ἀρέσω V
ἀρεταλογία N
Ἀρέτας Np
ἀρετή N
ἀρήγω V
Αρημα Np
Αρημωθ Np
Αρης Np
Αρησα Np
Αρθασασθα Np
ἀρθρέμβολον N
ἄρθρον N
Αρια Np
Ἀριαράθης Np
Αριηλ Np
αριηλ N
Αριηλι Np
ἀριθμέω V
ἀριθμητός A
ἀριθμός N
Αριμ Np
Αριμα Np
Ἀριμαθαία Np
Ἀρίσταρχος Np
ἀριστάω V
ἀριστεία N
ἀριστερός A
ἀριστεύω V
ἀριστέω V
Ἀριστόβουλος Np
ἄριστον N
ἄριστος A
Αρισωθ Np
Αριφ Np
Αριφος Np
αριωθ N
Αριωργιμ Np
Αριωχ Np
Αριώχης Np
Αρκεσαιος Np
ἀρκεύθινος A
ἄρκευθος N
ἀρκέω V
ἄρκος N
ἄρκτος N
ἀρκτοῦρος N
ἅρμα N
Ἀρμαγεδδών Np
Ἁρμαγεδών Np
Αρμαθαιμ Np
Αρμαι Np
Αρμαιθ Np
ἁρματηλάτης N
Αρμε Np
Ἀρμενία Np
ἁρμόζω V
ἁρμονία N
ἁρμόνιος A
ἁρμός N
Αρνα Np
Αρναφαρ Np
ἀρνέομαι V
Ἀρνί Np
ἀρνίον N
Αρνων Np
Αροαδι Np
Αροηδις Np
Αροηλις Np
Αροηρ Np
Αρομ Np
ἀροτήρ N
ἀροτρίασις N
ἀροτριάω V
ἄροτρον N
ἀροτρόπους N
Αρουδαῖος Np
Αρουηλ Np
Αρουκαῖος Np
Αρουρ Np
ἄρουρα N
Αρους Np
Αρουφαιος Np
Αρουχαῖος Np
ἁρπαγή N
ἅρπαγμα N
ἁρπάζω V
ἅρπαξ A
ἀρραβών N
Αρραν Np
ἀρρενωδῶς D
ἄρρηκτος A
ἄρριζος A
ἀρρωστέω V
ἀρρώστημα N
ἀρρωστία N
ἄρρωστος A
Αρσαιος Np
Ἀρσάκης Np
ἀρσενικός A
ἄρσην A N
Ἀρσινόη Np
ἄρσις N
Αρσωλα Np
Αρσων Np
ἀρτάβη N
Ἀρταξέρξης Np
Ἀρτεμᾶς Np
Ἄρτεμις Np
ἀρτήρ N
ἄρτι D
ἀρτίως D
ἀρτοκοπικός A
ἄρτος N
Αρφαδ Np
Αρφαθ Np
Ἀρφαξάδ Np
Αρχαβιν Np
Αρχαδ Np
ἀρχαῖος A
Ἀρχέλαος Np
ἀρχή N
ἀρχηγέτης N
ἀρχηγός N
ἀρχῆθεν D
Αρχι Np
ἀρχιδεσμοφύλαξ N
ἀρχιδεσμώτης N
ἀρχιεράομαι V
ἀρχιερατεύω V
ἀρχιερεύς N
ἀρχιερωσύνη N
ἀρχιευνοῦχος N
ἀρχιμάγειρος N
ἀρχιοινοχοΐα N
ἀρχιοινοχόος N
ἀρχιπατριώτης N
Ἄρχιππος Np
ἀρχισιτοποιός N
ἀρχιστράτηγος N
ἀρχισωματοφύλαξ N
ἀρχιτεκτονέω V
ἀρχιτεκτονία N
ἀρχιτέκτων N
ἀρχίφυλος A N
Αρχυαῖοι Np
ἄρχω V
Αρχωβ Np
ἄρχων N V
Αρωδαῖος Np
Αρωδίτης Np
Αρωεδ Np
Αρωθ Np
ἄρωμα N
Αρωνι Np
Αρωνιιμ Np
Ἀσά Np
Ασαβαλ Np
Ασαβδανα Np
Ασαβια Np
Ασαβιας Np
Ασαδια Np
Ασαδιας Np
Ασαηλ Np
Ασαηλος Np
Ασαια Np
Ασαιας Np
ἀσάλευτος A
Ασαν Np
Ασανα Np
Ασαρ Np
Ασαρα Np
Ασαραδδων Np
Ασαραι Np
ασαραμελ N
ασαρημωθ N
Ασαρμωθ Np
Ασαρσουλα Np
Ασας Np
Ασασανθαμαρ Np
Ἀσάφ Np
Ασβαν Np
Ασβανια Np
Ασβασαρεθ Np
Ασβηλ Np
Ασβίτης Np
ἀσβόλη N
Ασγαδ Np
Ασγαθ Np
Ασδωδ Np
ἀσέβεια N
Ἁσεβείας Np
ἀσεβέω V
Ἀσεβηβίας Np
ἀσέβημα N
ἀσεβής A
Ασεβι Np
Ασεβια Np
Ασεβων Np
Ασεδωθ Np
ἀσέλγεια N
ασελισι N
Ασεμ Np
Ασεμωνα Np
Ασενα Np
Ασεννα Np
Ασενναῖος Np
Ασενναφαρ Np
Ασεννεθ Np
Ασεργαδδα Np
Ασεριηλ Np
Ασερναιν Np
Ασερσουαλ Np
Ασερσουσιμ Np
Ασερων Np
Ασεφηραθ Np
Ασηδωθ Np
Ασηλ Np
ἄσημος A
ἄσηπτος A
Ἀσήρ Np
Ασηρωθ Np
ασηρωθ N
ἀσθένεια N
ἀσθενέω V
ἀσθενής A
ἀσθενόψυχος A
Ασθηραν Np
ἄσθμα N
ἀσθμαίνω V
Ἀσία Np
Ἀσιανός Np
Ἀσιάρχης Np
Ασιβιας Np
ἀσίδα N
Ασιδαῖος A N
ἀσίδηρος A
Ασιδων Np
Ασιεδωθ Np
Ἀσιηλ Np
Ασιηλι Np
Ασιθ Np
Ασιμαθ Np
Ασιμουθ Np
Ασιμωθ Np
ἀσινής A
Ασιρ Np
ἀσιτέω V
ἀσιτί D
Ασιφα Np
Ἀσκαλών Np
Ἀσκαλωνίτης Np
ἀσκέω V
ἄσκησις N
ἀσκητής N
ἀσκοπυτίνη N
ἀσκός N
Ασμα Np
ᾆσμα N
ἀσμενίζω V
ἄσμενος A
ἀσμένως D
Ἀσμοδαῖος Np
Ασμωθ Np
Ασνα Np
Ασοβαεσδ Np
Ασομ Np
Ασορ Np
Ασορδαν Np
Ασοριωναιν Np
Ασουβ Np
Ασουβε Np
Ασουηρος Np
Ασουρ Np
Ασουφε Np
ἀσπάζομαι V
ἀσπάλαθος N
ἀσπάλαξ N
ἀσπιδίσκη N
ἀσπίς N
Ασρων Np
Ασρωνι Np
Ασσα Np
Ασσαθων Np
Ασσαλιμωθ Np
Ασσαρες Np
Ασσαρι Np
Ασσαφιωθ Np
Ασσηρ Np
Ἄσσος Np
Ασσουρ Np
Ασσουριιμ Np
Ἀσσυρία Np
Ἀσσύριος Np
ἀσταθής A
Ἀστάρτα Np
Ἀσταρτεῖον Np
Ἀστάρτη Np
Ασταρωθ Np
Ασταρωθι Np
Αστατωθι Np
Ασταωλ Np
ἄστεγος A
ἀστεῖος A
ἀστείως D
ἄστεκτος A
ἀστήρ N
Αστιν Np
ἀστοχέω V
ἀστράγαλος N
ἀστραπή N
ἀστράπτω V
ἀστρολόγος N
ἄστρον N
Ἀστυάγης Np
ἀστυγείτων A
Ασυβηρ Np
Ασυβηρι Np
Ἀσύγκριτος Np
Ἀσύερος Np
ἀσυλία N
ἄσυλος A
ἀσύμφορος A
ἀσύμφωνος A
ἀσύνετος A
ἀσυνθεσία A N
ἀσυνθετέω V
ἀσύνθετος A
ἀσυρής A
ἀσφάλεια N
ἀσφαλής A
ἀσφαλίζω V
ἀσφαλτόπισσα N
ἄσφαλτος N
ἀσφαλτόω V
ἀσφαλῶς D
Ασφανεζ Np
Ασφαρ Np
Ασφάρασος Np
Ασχα Np
Ασχαζι Np
Ασχαναζ Np
Ασχανάζαιος Np
ἀσχημονέω V
ἀσχημοσύνη N
ἀσχήμων A
ἀσχολέω V
ἀσχολία N
Ασχωδ Np
Ασωβ Np
Ασωθι Np
Ασωθίτης Np
Ασωναῖος Np
Ασωρ Np
Ασωρων Np
ἀσωτία N
ἄσωτος A
Αταδ Np
ἄτακτος A
ἀταξία N
Αταρ Np
ἀτάρ C
Αταρα Np
ἀταραξία N
ἀτάραχος A
Αταρωθ Np
ἄταφος A
ἅτε D
ἀτείχιστος A
ἀτεκνία N
ἄτεκνος A
ἀτεκνόω V
ἀτελεία N
ἀτέλεστος A
ἀτελής A
ἀτενίζω V
ἄτερ P
Ατεργάτιον Np
Ατηρ Np
Ατητά Np
Ατθαριας Np
Ατιλ Np
ἀτιμάζω V
ἀτιμάω V
ἀτίμητος A
ἀτιμία N
ἄτιμος A
ἀτιμόω V
ἀτιμώρητος A
Ατιτα Np
Ατιφα Np
ἀτμίς N
ἀτοπία N
ἄτοπος A
Ατους Np
Ατουφα Np
ἄτρακτος N
ἀτραπός N
ἄτρυγος A
ἄτρωτος A
ἀττάκης N
Ἀττάλεια Np
Ἄτταλος Np
Ατταν Np
Ατταρατης Np
ἀττέλεβος N
Αττους Np
ἀτυχέω V
ἀτυχία N
Αυα Np
Αυαραν Np
αὐγάζω V
αὔγασμα N
αὐγή N
Αυγιαν Np
Αὔγουστος Np
αὔγω V
αὐθάδεια N
αὐθάδης A
αὐθαιρέτως D
αὐθέντης N
αὐθεντία N
αὐθημερινός A
αὐθημερόν D
αὐθωρί D
Αυιμ Np
αὐλαία N
αὖλαξ N
αὐλάρχης N
αὐλαρχία N
αὐλή N
αὐλός N
Αυλων Np
αὐλών N
Αυν Np
Αυναν Np
αὐξάνω V
αὔξησις N
αὔξω V
αὔρα N
Αυρανίτις Np
Αυρανος Np
αὔριον D
Αυση Np
Αυσῖτις Np
αὐστηρία N
αὐστηρός A
Αυταιας Np
αὐτάρκεια N
αὐταρκέω V
αὐτάρκης A
αὐτίκα D
αὐτοδέσποτος A N
αὐτόθεν D
αὐτόθι D
αὐτοκράτωρ N
αὐτόματος A
αὐτομολέω V
αὐτός R
αὐτοσχεδίως D
αὐτοῦ D
αὐτόχθων N A
αὐχήν N
αὐχμός N
αὐχμώδης A
Αυωθ Np
ἀφαγνίζω V
Αφαιρεμα Np
ἀφαίρεμα N
ἀφαίρεσις N
ἀφαιρέω V
Αφακα Np
Αφαληλ Np
ἀφάλλομαι V
ἀφανής A
ἀφανίζω V
ἀφανισμός N
ἀφάπτω V
Αφαρ Np
Αφαρσαθαχαῖοι Np
Αφαρσαῖοι Np
Αφαρσαχαῖοι Np
ἀφασία N
ἀφεγγής A
ἄφεδρος N
ἀφειδῶς D
Αφεκ Np
Αφεκα Np
ἄφεμα N
Αφερ Np
Αφεραϊμ Np
Αφερρα Np
ἄφεσις N
Αφεσση Np
ἀφεύκτως D
ἁφή N
ἀφηγέομαι V
ἀφήγημα N
ἀφθαρσία N
ἄφθαρτος A
ἄφθονος A
ἀφθόνως D
ἀφθορία N
ἄφθορος A
ἀφιερόω V
ἀφίημι V
ἀφικνέομαι V
ἄφιξις N
ἀφίστημι V
ἄφνω D
ἀφοβία N
ἄφοβος A
ἀφόβως D
ἀφόδευμα N
ἀφοδεύω V
ἄφοδος N
ἀφόμοιος N
ἀφομοιόω V
ἀφοράω V
ἀφόρητος A
ἀφορία N
ἀφορίζω V
ἀφόρισμα N
ἀφορισμός N
ἀφορμή N
ἀφορολόγητος A
Αφρα Np
ἀφρονεύομαι V
ἀφρόνως D
ἀφροσύνη N
ἄφρων A N
ἀφυλάκτως D
ἀφυστερέω V
Αφφαιμ Np
αφφουσωθ A N
αφφω I
ἄφωνος A
Αχααβ Np
Αχαβαρ Np
Ἀχάζ Np
Αχαζιβ Np
Ἀχαΐα Np
Ἀχαϊκός Np
