ἆ I
ἀνηλεής A
Ανημελεχ Np
ἀνήνυτος A
ἀνήρ N A
ἀνθέμιον N
ἀνθέω V
ἄνθινος A
ἀνθίστημι V
ἀνθομολογέομαι V
ἀνθομολόγησις N
ἄνθος N
ἀνθρακιά N
ἀνθράκινος A
ἄνθραξ N
ἀνθρωπάρεσκος N
ἀνθρώπινος A
ἄνθρωπος N
ἀνθυφαιρέω V
Ανιαμ Np
ἀνίατος A
ἀνιερόω V
Ανιηλ Np
ἀνίημι V
ἀνίκητος A
Ανιμ Np
ἀνίπταμαι V
ἀνίστημι V
Ανκαδης Np
Ἄννα Np
Ανναν Np
Ἄννας Np
Αννίας Np
Αννιουθ Np
Αννουα Np
Ἀννοῦνος Np
Αννων Np
ἀνόητος A
ἄνοια N A
ἀνοίγω V
ἀνοικοδομέω V
ἄνοικτος A
ἀνομβρέω V
ἀνομέω V
ἀνόμημα N
ἀνομία N
ἀνόμοιος A
ἄνομος A
ἀνόμως D
ἀνόνητος A
ἀνορθόω V
ἀνορύσσω V
ἀνόσιος A
ἀνοσίως D
Ανουμ Np
Ανουν Np
ἄνους A N
ἀνοχή N
ἀνταγωνίζομαι V
ἀνταγωνιστής A
ἀνταίρω V
ἀντακούω V
ἀντάλλαγμα N
ἀνταλλάσσω V
ἀντάμειψις N
ἀνταναιρέω V
ἀντανακλάω V
ἀντανίστημι V
ἀνταποδίδωμι V
ἀνταπόδομα N
ἀνταπόδοσις N
ἀνταποθνήσκω V
ἀνταποκρίνομαι V
ἀνταπόκρισις N
ἀνταποστέλλω V
ἀνταποτίνω V
ἀντέπω V
ἀντερείδω V
ἀντέχω V
ἀντηχέω V
ἀντί P I
ἀντιβάλλω V
ἀντίγραφον N
ἀντιγράφω V
ἀντιδίδωμι V
ἀντιδικέω V
ἀντίδικος N A
ἀντιδοκέω V
ἀντίζηλος N
ἀντίθετος A
ἀντικαθίζομαι V
ἀντικαθίστημι V
ἀντικαταλλάσσομαι V
ἀντίκειμαι V
ἀντικρίνω V
ἀντικρύ D
ἄντικρυς D
ἀντιλαμβάνω V
ἀντιλάμπω V
ἀντιλέγω V
ἀντίλημψις N
ἀντιλήπτωρ N
ἀντίληψις N
Ἀντιλίβανος Np
ἀντιλογία N
ἀντίον D N
Ἀντιόχεια Np
Ἀντιοχεύς Np
Ἀντιοχίς Np
Ἀντίοχον Np
ἀντίοχος N
Ἀντίοχος Np
ἀντίπαλος A
ἀντιπαραβάλλω V
ἀντιπαράγω V
ἀντιπαραγωγή N
ἀντιπαρατάσσομαι V
ἀντιπαρέρχομαι V
Ἀντιπᾶς Np
Ἀντιπατρίς Np
Ἀντίπατρος Np
ἀντιπίπτω V
ἀντιποιέω V
ἀντιπολεμέω V
ἀντιπολιτεύομαι V
ἀντιπράσσω V
ἀντιπρόσωπος A
ἀντίπτωμα N
ἀντίρρησις N
ἀντιρρητορεύω V
ἀντιστήριγμα N
ἀντιστηρίζω V
ἀντιτάσσω V
ἀντιτίθημι V
ἀντιφιλοσοφέω V
ἀντιφωνέω V
ἀντίψυχος A
ἀντλέω V
ἀντοφθαλμέω V
ἄντρον N
ἀντρώδης A
ἄνυδρος A
